ZONE,MODE,TRIPS
360,AUTO,391
361,AUTO,1855
361,TNC,40
362,AUTO,2447
362,SCHOOL BUS,162
362,TNC,101
362,WALK,3325
363,AUTO,994
364,AUTO,3060
364,TNC,101
364,WALK,79
365,TNC,118
366,AUTO,4323
366,SCHOOL BUS,79
366,TRANSIT,18
367,AUTO,26130
367,SCHOOL BUS,1914
368,AUTO,119
368,SCHOOL BUS,1995
368,TRANSIT,807
369,AUTO,2425
370,AUTO,2482
371,AUTO,47
371,OTHER,3
371,SHUTTLE VANPOOL,3880
373,AUTO,560
374,AUTO,308
376,AUTO,278
380,AUTO,124
384,AUTO,8688
385,AUTO,650
386,AUTO,2906
387,AUTO,582
388,AUTO,246
389,AUTO,1342
389,SCHOOL BUS,29
389,WALK,276
390,AUTO,489
391,AUTO,20
393,AUTO,1952
394,AUTO,26
395,AUTO,347
396,AUTO,27957
396,SHUTTLE VANPOOL,3880
397,SCHOOL BUS,29
398,AUTO,118
399,AUTO,9085
399,SHUTTLE VANPOOL,1940
400,AUTO,419
401,AUTO,3692
401,WALK,115
402,AUTO,3443
403,AUTO,3438
404,AUTO,2834
405,AUTO,10
406,AUTO,131
408,AUTO,158
408,WALK,181
409,AUTO,43
409,TNC,1902
410,AUTO,214
411,AUTO,532
415,AUTO,792
416,AUTO,789
416,WALK,160
417,AUTO,146
418,AUTO,3178
419,AUTO,1298
420,AUTO,7614
421,AUTO,887
422,AUTO,10116
423,AUTO,4918
423,TNC,1902
423,WALK,1597
424,AUTO,29622
424,WALK,305
425,AUTO,24404
425,SHUTTLE VANPOOL,1940
426,AUTO,164
427,AUTO,674
427,TRANSIT,142
427,WALK,1824
428,AUTO,4129
428,TNC,2336
428,WALK,350
429,AUTO,282
429,BIKE,105
429,WALK,27
430,AUTO,1674
430,TRANSIT,150
430,WALK,99
431,AUTO,439
431,WALK,326
432,AUTO,9298
432,WALK,1824
433,AUTO,1509
433,TNC,1127
433,WALK,2234
434,AUTO,7874
434,OTHER,1169
434,SCHOOL BUS,181
434,WALK,35
435,AUTO,7197
436,AUTO,4079
436,WALK,2222
437,AUTO,5458
438,AUTO,31543
438,LONG DIST PASS,3430
438,SHUTTLE VANPOOL,172
438,TNC,4731
439,AUTO,174
439,SHUTTLE VANPOOL,75
440,AUTO,29
441,AUTO,14708
441,SHUTTLE VANPOOL,9
442,AUTO,22507
443,AUTO,10967
443,BIKE,75
443,TRANSIT,18
443,WALK,1128
444,AUTO,347
445,AUTO,4717
446,AUTO,3959
447,AUTO,6547
447,WALK,1342
448,AUTO,9654
448,TRANSIT,12
449,AUTO,5230
450,AUTO,1391
451,AUTO,4800
452,AUTO,8164
452,WALK,6
453,AUTO,5383
454,AUTO,5250
454,TRANSIT,2769
455,AUTO,11643
455,TNC,2887
456,AUTO,7989
456,TRANSIT,175
456,WALK,41
457,AUTO,8892
457,TNC,3302
458,AUTO,11771
458,SHUTTLE VANPOOL,64
458,WALK,1336
459,AUTO,2313
460,AUTO,3537
460,WALK,669
461,AUTO,3471
461,TNC,9
462,AUTO,281
463,AUTO,1768
464,AUTO,5599
465,AUTO,14384
465,SHUTTLE VANPOOL,343
465,TRANSIT,958
466,AUTO,1295
467,AUTO,21638
467,TRANSIT,210
468,AUTO,6536
469,AUTO,5454
470,AUTO,122
471,AUTO,1848
472,AUTO,1914
473,AUTO,681
473,TRANSIT,150
474,AUTO,152
475,AUTO,2954
475,WALK,81
476,AUTO,12640
476,WALK,730
477,AUTO,10372
477,TNC,99
477,WALK,32
478,AUTO,2734
479,AUTO,310
480,AUTO,3152
480,WALK,55
481,AUTO,4927
481,WALK,42
482,AUTO,4386
482,WALK,1066
483,AUTO,2303
483,WALK,177
484,AUTO,1243
484,WALK,177
485,AUTO,4280
485,WALK,56
486,AUTO,583
487,AUTO,10133
488,AUTO,2948
489,AUTO,1631
490,AUTO,332
491,AUTO,2716
491,WALK,7
492,AUTO,4220
492,WALK,204
493,AUTO,9335
494,AUTO,3535
495,AUTO,4079
496,AUTO,6124
497,AUTO,4863
497,WALK,581
498,AUTO,8405
498,BIKE,1196
498,WALK,740
499,AUTO,1077
499,WALK,258
500,AUTO,18
501,AUTO,197
502,AUTO,410
503,AUTO,16810
503,BIKE,101
503,WALK,399
504,AUTO,36231
504,WALK,377
505,AUTO,4642
505,WALK,23
506,AUTO,3033
506,WALK,573
507,AUTO,5114
507,WALK,5
508,AUTO,3262
509,AUTO,11979
509,WALK,3
510,AUTO,3551
510,WALK,2484
511,AUTO,12908
511,BIKE,1018
511,CAR SHARE,18
511,WALK,345
512,AUTO,6597
512,WALK,1946
513,AUTO,3865
513,WALK,282
514,AUTO,5799
514,WALK,937
515,AUTO,7724
515,TRANSIT,535
515,WALK,81
516,AUTO,5448
516,WALK,345
517,AUTO,20551
517,BIKE,3680
517,OTHER,119
517,WALK,23750
518,AUTO,1880
518,CAR SHARE,18
518,WALK,244
519,AUTO,6770
519,WALK,226
520,AUTO,3453
520,WALK,2097
521,AUTO,30720
521,TRANSIT,100
522,AUTO,36700
522,TNC,267
522,TRANSIT,1196
522,WALK,4063
523,AUTO,5485
524,AUTO,39738
524,WALK,364
525,AUTO,10166
525,BIKE,1196
525,CAR SHARE,6
