ZONE,COUNTY,MODE,TRIPS
366,Hillsborough County,TRANSIT,18
367,Hillsborough County,AUTO,26130
367,Hillsborough County,SCHOOL BUS,1914
368,Hillsborough County,AUTO,119
368,Hillsborough County,SCHOOL BUS,1995
368,Hillsborough County,TRANSIT,807
369,Hillsborough County,AUTO,2425
370,Hillsborough County,AUTO,2482
371,Hillsborough County,AUTO,47
371,Hillsborough County,OTHER,3
371,Hillsborough County,SHUTTLE VANPOOL,3880
373,Hillsborough County,AUTO,560
374,Hillsborough County,AUTO,308
376,Hillsborough County,AUTO,278
380,Hillsborough County,AUTO,124
384,Hillsborough County,AUTO,8688
385,Hillsborough County,AUTO,650
386,Hillsborough County,AUTO,2906
387,Hillsborough County,AUTO,582
388,Hillsborough County,AUTO,246
389,Hillsborough County,AUTO,1342
389,Hillsborough County,SCHOOL BUS,29
389,Hillsborough County,WALK,276
390,Hillsborough County,AUTO,489
391,Hillsborough County,AUTO,20
393,Hillsborough County,AUTO,1952
394,Hillsborough County,AUTO,26
395,Hillsborough County,AUTO,347
396,Hillsborough County,AUTO,27957
396,Hillsborough County,SHUTTLE VANPOOL,3880
397,Hillsborough County,SCHOOL BUS,29
398,Hillsborough County,AUTO,118
399,Hillsborough County,AUTO,9085
399,Hillsborough County,SHUTTLE VANPOOL,1940
400,Hillsborough County,AUTO,419
401,Hillsborough County,AUTO,3692
401,Hillsborough County,WALK,115
402,Hillsborough County,AUTO,3443
403,Hillsborough County,AUTO,3438
404,Hillsborough County,AUTO,2834
405,Hillsborough County,AUTO,10
406,Hillsborough County,AUTO,131
408,Hillsborough County,AUTO,158
408,Hillsborough County,WALK,181
409,Hillsborough County,AUTO,43
409,Hillsborough County,TNC,1902
410,Hillsborough County,AUTO,214
411,Hillsborough County,AUTO,532
415,Hillsborough County,AUTO,792
416,Hillsborough County,AUTO,789
416,Hillsborough County,WALK,160
417,Hillsborough County,AUTO,146
418,Hillsborough County,AUTO,3178
419,Hillsborough County,AUTO,1298
420,Hillsborough County,AUTO,7614
421,Hillsborough County,AUTO,887
422,Hillsborough County,AUTO,10116
423,Hillsborough County,AUTO,4918
423,Hillsborough County,TNC,1902
423,Hillsborough County,WALK,1597
424,Hillsborough County,AUTO,29622
424,Hillsborough County,WALK,305
425,Hillsborough County,AUTO,24404
425,Hillsborough County,SHUTTLE VANPOOL,1940
426,Hillsborough County,AUTO,164
427,Hillsborough County,AUTO,674
427,Hillsborough County,TRANSIT,142
427,Hillsborough County,WALK,1824
428,Hillsborough County,AUTO,4129
428,Hillsborough County,TNC,2336
428,Hillsborough County,WALK,350
429,Hillsborough County,AUTO,282
429,Hillsborough County,BIKE,105
429,Hillsborough County,WALK,27
430,Hillsborough County,AUTO,1674
430,Hillsborough County,TRANSIT,150
430,Hillsborough County,WALK,99
431,Hillsborough County,AUTO,439
431,Hillsborough County,WALK,326
432,Hillsborough County,AUTO,9298
432,Hillsborough County,WALK,1824
433,Hillsborough County,AUTO,1509
433,Hillsborough County,TNC,1127
433,Hillsborough County,WALK,2234
434,Hillsborough County,AUTO,7874
434,Hillsborough County,OTHER,1169
434,Hillsborough County,SCHOOL BUS,181
434,Hillsborough County,WALK,35
435,Hillsborough County,AUTO,7197
436,Hillsborough County,AUTO,4079
436,Hillsborough County,WALK,2222
437,Hillsborough County,AUTO,5458
438,Hillsborough County,AUTO,31543
438,Hillsborough County,LONG DIST PASS,3430
438,Hillsborough County,SHUTTLE VANPOOL,172
438,Hillsborough County,TNC,4731
439,Hillsborough County,AUTO,174
439,Hillsborough County,SHUTTLE VANPOOL,75
440,Hillsborough County,AUTO,29
441,Hillsborough County,AUTO,14708
441,Hillsborough County,SHUTTLE VANPOOL,9
442,Hillsborough County,AUTO,22507
