FROM,TO,TRIPS
Manatee Spur,New Tampa,0
Manatee Spur,Pasco,0
Manatee Spur,Pinellas,0
Manatee Spur,Plant City Area,0
Manatee Spur,Port of Tampa  50th St Corridor,153
Manatee Spur,SE Hillsborough,0
Manatee Spur,SW Hillsborough,0
Manatee Spur,TPA  Anderson Rd,0
Manatee Spur,Tampa Central,0
Manatee Spur,USF  Hosp  Busch,0
Manatee Spur,West Brandon,116
Manatee Spur,Westshore  Rocky Point,0
NE Hilsborough,Apollo Beach  Ruskin,116
NE Hilsborough,CZ2,268
NE Hilsborough,CZ4,4470
NE Hilsborough,Citrus Park,0
NE Hilsborough,Downtown,10988
NE Hilsborough,East Town,6780
NE Hilsborough,External,5285
NE Hilsborough,Gibsonton,11226
NE Hilsborough,Harney Canal,4212
NE Hilsborough,Hernando  Citrus,0
NE Hilsborough,MacDill AFB,3077
NE Hilsborough,Manatee Spur,139
NE Hilsborough,NE Hilsborough,261602
NE Hilsborough,NW Hilsborough,14664
NE Hilsborough,New Tampa,1234
NE Hilsborough,Pasco,16628
NE Hilsborough,Pinellas,4973
NE Hilsborough,Plant City Area,24613
NE Hilsborough,Port of Tampa  50th St Corridor,0
NE Hilsborough,SE Hillsborough,43450
NE Hilsborough,SW Hillsborough,346
NE Hilsborough,TPA  Anderson Rd,2423
NE Hilsborough,Tampa Central,42469
NE Hilsborough,USF  Hosp  Busch,20475
NE Hilsborough,West Brandon,15349
NE Hilsborough,Westshore  Rocky Point,2055
NW Hilsborough,Apollo Beach  Ruskin,0
NW Hilsborough,CZ2,713
NW Hilsborough,CZ4,907
NW Hilsborough,Citrus Park,13288
NW Hilsborough,Downtown,12761
NW Hilsborough,East Town,4392
NW Hilsborough,External,657
NW Hilsborough,Gibsonton,2429
NW Hilsborough,Harney Canal,1533
NW Hilsborough,Hernando  Citrus,5958
NW Hilsborough,MacDill AFB,4964
NW Hilsborough,Manatee Spur,0
NW Hilsborough,NE Hilsborough,12459
NW Hilsborough,NW Hilsborough,868325
NW Hilsborough,New Tampa,2143
NW Hilsborough,Pasco,69465
NW Hilsborough,Pinellas,79361
NW Hilsborough,Plant City Area,0
NW Hilsborough,Port of Tampa  50th St Corridor,0
NW Hilsborough,SE Hillsborough,1228
NW Hilsborough,SW Hillsborough,26341
NW Hilsborough,TPA  Anderson Rd,60795
NW Hilsborough,Tampa Central,134119
NW Hilsborough,USF  Hosp  Busch,10071
NW Hilsborough,West Brandon,903
NW Hilsborough,Westshore  Rocky Point,19081
New Tampa,Apollo Beach  Ruskin,0
New Tampa,CZ2,658
New Tampa,CZ4,459
New Tampa,Citrus Park,30
New Tampa,Downtown,1087
New Tampa,East Town,265
New Tampa,External,0
New Tampa,Gibsonton,0
New Tampa,Harney Canal,772
New Tampa,Hernando  Citrus,0
New Tampa,MacDill AFB,0
New Tampa,Manatee Spur,0
New Tampa,NE Hilsborough,979
New Tampa,NW Hilsborough,2104
New Tampa,New Tampa,8320
New Tampa,Pasco,2545
New Tampa,Pinellas,0
New Tampa,Plant City Area,0
New Tampa,Port of Tampa  50th St Corridor,0
New Tampa,SE Hillsborough,0
New Tampa,SW Hillsborough,127
New Tampa,TPA  Anderson Rd,0
New Tampa,Tampa Central,8553
New Tampa,USF  Hosp  Busch,445
New Tampa,West Brandon,180
New Tampa,Westshore  Rocky Point,1900
