ROUTE_SURVEYED,TIME_ON,COUNT,CHART_TYPE
MARTA 143,AM5 8:00 am - 9:00 am,129.02,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,PM2 4:00 pm - 5:00 pm,128.71,ROUTE SURVEYED BY TIME PERIOD
SRTA 419,PM3 5:00 pm - 6:00 pm,128.62,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,PM3 5:00 pm - 6:00 pm,128.55,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,AM4 7:00 am - 8:00 am,128.48,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,MID2 10:00 am - 11:00 am,128.33,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,AM5 8:00 am - 9:00 am,127.84,ROUTE SURVEYED BY TIME PERIOD
MARTA 55,AM2 5:00 am - 6:00 am,127.77,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,AM4 7:00 am - 8:00 am,127.21,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,MID4 12:00 noon - 1:00 pm,127.2,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,AM5 8:00 am - 9:00 am,127.1,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,PM4 6:00 pm - 7:00 pm,126.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 6,PM4 6:00 pm - 7:00 pm,126.09,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,MID6 2:00 pm - 3:00 pm,125.86,ROUTE SURVEYED BY TIME PERIOD
MARTA 26,MID6 2:00 pm - 3:00 pm,125.42,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,MID6 2:00 pm - 3:00 pm,124.48,ROUTE SURVEYED BY TIME PERIOD
SRTA 432,PM1 3:00 pm - 4:00 pm,124.25,ROUTE SURVEYED BY TIME PERIOD
SRTA 432,PM3 5:00 pm - 6:00 pm,124.25,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM6 8:00 pm - 9:00 pm,123.61,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,PM4 6:00 pm - 7:00 pm,123.17,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,PM2 4:00 pm - 5:00 pm,123.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,AM2 5:00 am - 6:00 am,122.97,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,AM2 5:00 am - 6:00 am,122.79,ROUTE SURVEYED BY TIME PERIOD
MARTA 50,PM3 5:00 pm - 6:00 pm,122.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 107,AM2 5:00 am - 6:00 am,121.9,ROUTE SURVEYED BY TIME PERIOD
